tenure,Churn,Contract,SeniorCitizen,MonthlyCharges
1,0,Month-to-month,0,29.850000381469727
34,0,One year,0,56.95000076293945
2,1,Month-to-month,0,53.84999847412109
45,0,One year,0,42.29999923706055
2,1,Month-to-month,0,70.69999694824219
8,1,Month-to-month,0,99.6500015258789
22,0,Month-to-month,0,89.0999984741211
10,0,Month-to-month,0,29.75
28,1,Month-to-month,0,104.8000030517578
62,0,One year,0,56.150001525878906
13,0,Month-to-month,0,49.95000076293945
16,0,Two year,0,18.950000762939453
58,0,One year,0,100.3499984741211
49,1,Month-to-month,0,103.6999969482422
25,0,Month-to-month,0,105.5
69,0,Two year,0,113.25
52,0,One year,0,20.649999618530277
71,0,Two year,0,106.6999969482422
10,1,Month-to-month,0,55.20000076293945
21,0,Month-to-month,0,90.05000305175781
1,1,Month-to-month,1,39.650001525878906
12,0,One year,0,19.799999237060547
1,1,Month-to-month,0,20.149999618530277
58,0,Two year,0,59.900001525878906
49,0,Month-to-month,0,59.59999847412109
30,0,Month-to-month,0,55.29999923706055
47,1,Month-to-month,0,99.3499984741211
1,1,Month-to-month,0,30.200000762939453
72,0,Two year,0,90.25
17,1,Month-to-month,0,64.69999694824219
71,0,Two year,1,96.3499984741211
2,0,Month-to-month,1,95.5
27,0,One year,0,66.1500015258789
1,0,Month-to-month,0,20.200000762939453
1,0,Month-to-month,1,45.25
72,0,Two year,0,99.9000015258789
5,1,Month-to-month,0,69.69999694824219
46,0,Month-to-month,0,74.80000305175781
34,1,Month-to-month,0,106.3499984741211
11,1,Month-to-month,0,97.8499984741211
10,0,One year,0,49.54999923706055
70,0,Two year,0,69.19999694824219
17,0,One year,0,20.75
63,0,Two year,0,79.8499984741211
13,0,Month-to-month,0,76.19999694824219
49,0,Month-to-month,0,84.5
2,0,Month-to-month,0,49.25
2,1,Month-to-month,0,80.6500015258789
52,0,Two year,0,79.75
69,0,Two year,0,64.1500015258789
43,0,Month-to-month,1,90.25
15,1,Month-to-month,0,99.0999984741211
25,0,Month-to-month,1,69.5
8,1,Month-to-month,1,80.6500015258789
60,0,One year,1,74.8499984741211
18,1,Month-to-month,1,95.4499969482422
63,0,One year,0,99.6500015258789
66,0,One year,1,108.4499969482422
34,0,Two year,0,24.950000762939453
72,0,Two year,0,107.5
47,0,Month-to-month,0,100.5
60,0,Month-to-month,0,89.9000015258789
72,0,Two year,0,42.09999847412109
18,0,One year,0,54.400001525878906
9,1,Month-to-month,0,94.4000015258789
3,0,Month-to-month,0,75.30000305175781
47,0,One year,0,78.9000015258789
31,0,Two year,0,79.19999694824219
50,0,Two year,0,20.149999618530277
10,0,Month-to-month,0,79.8499984741211
1,0,Month-to-month,0,49.04999923706055
52,0,One year,0,20.399999618530277
64,0,Two year,1,111.5999984741211
62,0,Two year,0,24.25
3,0,Month-to-month,0,64.5
56,0,One year,1,110.5
46,0,One year,0,55.650001525878906
8,0,Month-to-month,0,54.650001525878906
30,0,Month-to-month,1,74.75
45,0,One year,0,25.899999618530277
1,1,Month-to-month,0,79.3499984741211
11,0,Month-to-month,0,50.54999923706055
7,1,Month-to-month,0,75.1500015258789
42,0,Month-to-month,0,103.8000030517578
49,0,Two year,0,20.149999618530277
9,0,Month-to-month,0,99.3000030517578
35,0,One year,0,62.150001525878906
48,0,Two year,0,20.649999618530277
46,0,Two year,0,19.950000762939453
29,0,Month-to-month,0,33.75
30,0,Month-to-month,0,82.05000305175781
1,0,Month-to-month,1,74.69999694824219
66,0,Two year,0,84.0
65,0,Month-to-month,0,111.0500030517578
72,0,Two year,0,100.9000015258789
12,1,Month-to-month,0,78.94999694824219
71,0,One year,0,66.8499984741211
5,1,Month-to-month,0,21.049999237060547
52,0,Two year,0,21.0
25,1,Month-to-month,1,98.5
1,0,Month-to-month,0,20.200000762939453
1,0,Month-to-month,0,19.450000762939453
38,0,One year,0,95.0
66,0,One year,1,45.54999923706055
68,1,Two year,0,110.0
5,0,Month-to-month,0,24.299999237060547
72,0,One year,0,104.1500015258789
32,0,One year,0,30.149999618530277
43,0,One year,0,94.3499984741211
72,0,Two year,0,19.399999618530277
55,1,Month-to-month,0,96.75
52,0,One year,0,57.95000076293945
43,0,Month-to-month,0,91.6500015258789
37,1,Month-to-month,1,76.5
64,0,Two year,0,54.59999847412109
3,0,Month-to-month,0,89.8499984741211
36,0,Two year,0,31.049999237060547
10,1,Month-to-month,0,100.25
41,0,Two year,0,20.649999618530277
27,0,Month-to-month,0,85.19999694824219
56,0,One year,0,99.8000030517578
6,0,Month-to-month,0,20.700000762939453
3,1,Month-to-month,0,74.4000015258789
7,0,Month-to-month,0,50.70000076293945
4,0,Month-to-month,0,20.850000381469727
33,0,Two year,0,88.94999694824219
27,1,Month-to-month,1,78.05000305175781
72,0,Two year,0,23.549999237060547
1,0,Month-to-month,0,19.75
71,0,One year,1,56.45000076293945
13,0,Month-to-month,0,85.94999694824219
25,1,Month-to-month,0,58.59999847412109
67,0,Two year,0,50.54999923706055
1,1,Month-to-month,0,35.45000076293945
2,1,Month-to-month,0,44.34999847412109
43,0,Two year,0,25.700000762939453
23,0,Month-to-month,0,75.0
64,0,Two year,0,20.200000762939453
57,0,Two year,0,19.600000381469727
1,1,Month-to-month,1,70.44999694824219
72,0,Two year,1,88.05000305175781
8,1,Month-to-month,0,71.1500015258789
61,0,Two year,0,101.0500030517578
64,0,One year,0,84.30000305175781
71,0,Two year,1,23.950000762939453
65,0,Two year,0,99.0500030517578
3,0,One year,0,19.600000381469727
1,1,Month-to-month,0,45.650001525878906
30,0,One year,0,64.5
15,0,Month-to-month,0,69.5
8,0,Month-to-month,0,68.55000305175781
7,1,Month-to-month,0,95.0
70,0,One year,0,108.1500015258789
62,0,Two year,0,86.0999984741211
6,0,Month-to-month,0,19.700000762939453
14,0,Month-to-month,0,80.9000015258789
22,0,Month-to-month,0,84.1500015258789
22,0,One year,0,20.149999618530277
16,0,Two year,0,64.25
10,0,Two year,0,25.700000762939453
13,0,Month-to-month,0,56.0
20,1,Month-to-month,0,82.4000015258789
2,0,Month-to-month,0,69.69999694824219
53,0,Two year,0,73.9000015258789
11,0,One year,0,20.600000381469727
69,0,Two year,0,19.899999618530277
4,1,Month-to-month,0,70.9000015258789
72,0,Two year,0,89.05000305175781
58,1,Month-to-month,1,45.29999923706055
16,0,Month-to-month,0,20.399999618530277
43,0,One year,0,84.25
2,1,Month-to-month,0,104.4000015258789
14,0,Two year,0,81.94999694824219
53,1,One year,0,94.8499984741211
32,0,One year,0,20.549999237060547
34,0,Month-to-month,0,24.700000762939453
15,1,Month-to-month,1,74.44999694824219
7,1,Month-to-month,1,76.44999694824219
15,0,Month-to-month,0,105.3499984741211
61,0,One year,0,20.549999237060547
1,1,Month-to-month,0,29.950000762939453
1,0,Month-to-month,0,45.29999923706055
8,1,Month-to-month,0,84.5
33,0,One year,0,74.75
13,1,Month-to-month,0,79.25
1,1,Month-to-month,0,24.799999237060547
20,0,Month-to-month,0,51.79999923706055
3,0,Month-to-month,0,30.399999618530277
13,0,One year,0,19.649999618530277
40,0,Month-to-month,0,56.59999847412109
43,0,One year,0,71.9000015258789
6,1,Month-to-month,0,91.0
69,0,Two year,0,19.75
72,0,Two year,0,109.6999969482422
59,0,Two year,0,19.299999237060547
20,0,Month-to-month,0,96.5500030517578
24,0,Two year,0,24.100000381469727
59,0,Month-to-month,0,111.3499984741211
72,0,Two year,0,112.25
1,0,Month-to-month,0,20.75
27,0,One year,0,101.9000015258789
14,0,Month-to-month,0,80.05000305175781
71,0,Two year,0,105.5500030517578
13,0,Month-to-month,0,78.30000305175781
44,0,Month-to-month,0,68.8499984741211
33,0,One year,0,79.94999694824219
72,0,Two year,0,55.45000076293945
1,1,Month-to-month,0,79.9000015258789
19,1,Month-to-month,0,106.5999984741211
64,0,One year,0,102.4499969482422
2,1,Month-to-month,0,46.0
1,0,Month-to-month,0,25.25
61,0,Two year,0,19.75
29,0,One year,0,20.0
23,0,Month-to-month,1,86.80000305175781
57,0,Month-to-month,0,58.75
72,0,Two year,0,45.25
66,0,Two year,0,56.59999847412109
65,0,Two year,0,84.19999694824219
8,0,Month-to-month,0,80.0
4,1,Month-to-month,0,70.1500015258789
71,0,Two year,0,24.75
1,0,One year,0,20.200000762939453
4,1,Month-to-month,0,50.04999923706055
12,0,One year,0,19.350000381469727
24,0,One year,0,50.59999847412109
31,0,One year,0,81.1500015258789
1,1,Month-to-month,0,55.20000076293945
30,0,Month-to-month,0,89.9000015258789
47,0,Two year,0,85.30000305175781
54,0,Two year,0,108.0
50,0,Month-to-month,0,93.5
1,1,Month-to-month,0,84.5999984741211
72,0,Two year,0,20.25
29,0,Month-to-month,0,25.149999618530277
2,1,Month-to-month,0,54.400001525878906
10,0,Two year,0,29.600000381469727
18,0,Month-to-month,0,73.1500015258789
11,1,Month-to-month,1,95.0
16,0,Two year,0,19.75
72,0,Two year,0,86.5999984741211
72,0,Two year,0,109.1999969482422
41,0,One year,0,74.69999694824219
65,0,Month-to-month,1,94.4000015258789
13,0,Month-to-month,1,54.79999923706055
4,0,Month-to-month,1,75.3499984741211
41,0,One year,0,65.0
15,1,Month-to-month,1,74.4000015258789
1,1,Month-to-month,0,48.54999923706055
42,0,One year,0,99.0
51,0,One year,0,93.5
2,1,Month-to-month,0,70.4000015258789
1,1,Month-to-month,1,40.20000076293945
32,0,One year,0,83.69999694824219
10,0,Month-to-month,0,19.850000381469727
67,0,Two year,0,59.54999923706055
61,0,Two year,0,115.0999984741211
50,0,One year,0,114.3499984741211
2,1,Month-to-month,0,44.59999847412109
29,0,Month-to-month,1,45.0
3,1,Month-to-month,1,41.150001525878906
13,1,Month-to-month,1,106.9000015258789
57,0,Month-to-month,1,89.8499984741211
31,0,Two year,0,49.84999847412109
45,0,One year,0,113.3000030517578
61,0,Two year,0,88.0999984741211
50,0,Two year,0,24.899999618530277
19,0,Month-to-month,1,105.0
59,1,Two year,0,19.350000381469727
71,0,Two year,0,24.25
16,1,Month-to-month,1,94.4499969482422
57,0,Two year,0,59.75
1,1,Month-to-month,0,24.799999237060547
20,0,Month-to-month,1,107.0500030517578
1,1,Month-to-month,0,70.5999984741211
5,1,Month-to-month,0,85.4000015258789
52,1,Month-to-month,0,105.0500030517578
21,0,Month-to-month,1,64.94999694824219
14,0,Month-to-month,0,55.0
5,0,Month-to-month,0,50.54999923706055
6,0,Month-to-month,0,55.150001525878906
10,0,Month-to-month,0,51.20000076293945
1,0,Month-to-month,0,25.399999618530277
68,0,Month-to-month,0,54.45000076293945
18,1,Month-to-month,0,95.1500015258789
22,0,One year,0,76.0
20,0,Month-to-month,0,44.34999847412109
1,1,Month-to-month,0,70.0
8,1,Month-to-month,1,74.5
10,1,Month-to-month,0,44.84999847412109
24,1,Month-to-month,1,76.0999984741211
35,0,One year,0,61.20000076293945
23,0,One year,0,86.80000305175781
6,0,Month-to-month,1,89.3499984741211
12,0,Month-to-month,0,19.700000762939453
1,0,Month-to-month,0,20.25
71,0,Two year,0,76.05000305175781
35,0,Month-to-month,1,100.8000030517578
40,0,Month-to-month,0,74.55000305175781
1,1,Month-to-month,0,73.5999984741211
23,0,One year,0,64.9000015258789
4,1,Month-to-month,1,95.4499969482422
4,0,Month-to-month,0,90.4000015258789
68,0,Two year,0,60.29999923706055
38,0,Month-to-month,0,81.8499984741211
52,0,Two year,0,24.799999237060547
32,1,Month-to-month,1,74.9000015258789
29,0,Two year,0,75.55000305175781
