,tenure,Churn,Contract,InternetService,SeniorCitizen,PaymentMethod,MonthlyCharges,ChurnEncode,SeniorCitizenEncode
0,1,False,Month-to-month,DSL,False,Electronic check,29.850000381469727,No,No
1,34,False,One year,DSL,False,Mailed check,56.95000076293945,No,No
2,2,True,Month-to-month,DSL,False,Mailed check,53.84999847412109,Yes,No
3,45,False,One year,DSL,False,Bank transfer (automatic),42.29999923706055,No,No
4,2,True,Month-to-month,Fiber optic,False,Electronic check,70.69999694824219,Yes,No
5,8,True,Month-to-month,Fiber optic,False,Electronic check,99.6500015258789,Yes,No
6,22,False,Month-to-month,Fiber optic,False,Credit card (automatic),89.0999984741211,No,No
7,10,False,Month-to-month,DSL,False,Mailed check,29.75,No,No
8,28,True,Month-to-month,Fiber optic,False,Electronic check,104.8000030517578,Yes,No
9,62,False,One year,DSL,False,Bank transfer (automatic),56.150001525878906,No,No
10,13,False,Month-to-month,DSL,False,Mailed check,49.95000076293945,No,No
11,16,False,Two year,No,False,Credit card (automatic),18.950000762939453,No,No
12,58,False,One year,Fiber optic,False,Credit card (automatic),100.3499984741211,No,No
13,49,True,Month-to-month,Fiber optic,False,Bank transfer (automatic),103.6999969482422,Yes,No
14,25,False,Month-to-month,Fiber optic,False,Electronic check,105.5,No,No
15,69,False,Two year,Fiber optic,False,Credit card (automatic),113.25,No,No
16,52,False,One year,No,False,Mailed check,20.649999618530277,No,No
17,71,False,Two year,Fiber optic,False,Bank transfer (automatic),106.6999969482422,No,No
18,10,True,Month-to-month,DSL,False,Credit card (automatic),55.20000076293945,Yes,No
19,21,False,Month-to-month,Fiber optic,False,Electronic check,90.05000305175781,No,No
20,1,True,Month-to-month,DSL,True,Electronic check,39.650001525878906,Yes,Yes
21,12,False,One year,No,False,Bank transfer (automatic),19.799999237060547,No,No
22,1,True,Month-to-month,No,False,Mailed check,20.149999618530277,Yes,No
23,58,False,Two year,DSL,False,Credit card (automatic),59.900001525878906,No,No
24,49,False,Month-to-month,DSL,False,Credit card (automatic),59.59999847412109,No,No
25,30,False,Month-to-month,DSL,False,Bank transfer (automatic),55.29999923706055,No,No
26,47,True,Month-to-month,Fiber optic,False,Electronic check,99.3499984741211,Yes,No
27,1,True,Month-to-month,DSL,False,Electronic check,30.200000762939453,Yes,No
28,72,False,Two year,DSL,False,Credit card (automatic),90.25,No,No
29,17,True,Month-to-month,DSL,False,Mailed check,64.69999694824219,Yes,No
30,71,False,Two year,Fiber optic,True,Credit card (automatic),96.3499984741211,No,Yes
31,2,False,Month-to-month,Fiber optic,True,Credit card (automatic),95.5,No,Yes
32,27,False,One year,DSL,False,Mailed check,66.1500015258789,No,No
33,1,False,Month-to-month,No,False,Bank transfer (automatic),20.200000762939453,No,No
34,1,False,Month-to-month,DSL,True,Bank transfer (automatic),45.25,No,Yes
35,72,False,Two year,Fiber optic,False,Bank transfer (automatic),99.9000015258789,No,No
36,5,True,Month-to-month,Fiber optic,False,Electronic check,69.69999694824219,Yes,No
37,46,False,Month-to-month,Fiber optic,False,Credit card (automatic),74.80000305175781,No,No
38,34,True,Month-to-month,Fiber optic,False,Electronic check,106.3499984741211,Yes,No
39,11,True,Month-to-month,Fiber optic,False,Bank transfer (automatic),97.8499984741211,Yes,No
40,10,False,One year,DSL,False,Mailed check,49.54999923706055,No,No
41,70,False,Two year,DSL,False,Credit card (automatic),69.19999694824219,No,No
42,17,False,One year,No,False,Mailed check,20.75,No,No
43,63,False,Two year,DSL,False,Credit card (automatic),79.8499984741211,No,No
44,13,False,Month-to-month,DSL,False,Electronic check,76.19999694824219,No,No
45,49,False,Month-to-month,Fiber optic,False,Electronic check,84.5,No,No
46,2,False,Month-to-month,DSL,False,Mailed check,49.25,No,No
47,2,True,Month-to-month,Fiber optic,False,Electronic check,80.6500015258789,Yes,No
48,52,False,Two year,DSL,False,Credit card (automatic),79.75,No,No
49,69,False,Two year,DSL,False,Credit card (automatic),64.1500015258789,No,No
50,43,False,Month-to-month,Fiber optic,True,Electronic check,90.25,No,Yes
51,15,True,Month-to-month,Fiber optic,False,Credit card (automatic),99.0999984741211,Yes,No
52,25,False,Month-to-month,DSL,True,Credit card (automatic),69.5,No,Yes
53,8,True,Month-to-month,Fiber optic,True,Credit card (automatic),80.6500015258789,Yes,Yes
54,60,False,One year,DSL,True,Credit card (automatic),74.8499984741211,No,Yes
55,18,True,Month-to-month,Fiber optic,True,Electronic check,95.4499969482422,Yes,Yes
56,63,False,One year,Fiber optic,False,Credit card (automatic),99.6500015258789,No,No
57,66,False,One year,Fiber optic,True,Electronic check,108.4499969482422,No,Yes
58,34,False,Two year,No,False,Credit card (automatic),24.950000762939453,No,No
59,72,False,Two year,Fiber optic,False,Credit card (automatic),107.5,No,No
60,47,False,Month-to-month,Fiber optic,False,Electronic check,100.5,No,No
61,60,False,Month-to-month,Fiber optic,False,Bank transfer (automatic),89.9000015258789,No,No
62,72,False,Two year,DSL,False,Bank transfer (automatic),42.09999847412109,No,No
63,18,False,One year,DSL,False,Credit card (automatic),54.400001525878906,No,No
64,9,True,Month-to-month,Fiber optic,False,Electronic check,94.4000015258789,Yes,No
65,3,False,Month-to-month,DSL,False,Electronic check,75.30000305175781,No,No
66,47,False,One year,Fiber optic,False,Electronic check,78.9000015258789,No,No
67,31,False,Two year,DSL,False,Mailed check,79.19999694824219,No,No
68,50,False,Two year,No,False,Bank transfer (automatic),20.149999618530277,No,No
69,10,False,Month-to-month,Fiber optic,False,Mailed check,79.8499984741211,No,No
70,1,False,Month-to-month,DSL,False,Mailed check,49.04999923706055,No,No
71,52,False,One year,No,False,Electronic check,20.399999618530277,No,No
72,64,False,Two year,Fiber optic,True,Bank transfer (automatic),111.5999984741211,No,Yes
73,62,False,Two year,No,False,Bank transfer (automatic),24.25,No,No
74,3,False,Month-to-month,DSL,False,Bank transfer (automatic),64.5,No,No
75,56,False,One year,Fiber optic,True,Electronic check,110.5,No,Yes
76,46,False,One year,DSL,False,Credit card (automatic),55.650001525878906,No,No
77,8,False,Month-to-month,DSL,False,Mailed check,54.650001525878906,No,No
78,30,False,Month-to-month,DSL,True,Electronic check,74.75,No,Yes
79,45,False,One year,No,False,Credit card (automatic),25.899999618530277,No,No
80,1,True,Month-to-month,Fiber optic,False,Electronic check,79.3499984741211,Yes,No
81,11,False,Month-to-month,DSL,False,Electronic check,50.54999923706055,No,No
82,7,True,Month-to-month,Fiber optic,False,Bank transfer (automatic),75.1500015258789,Yes,No
83,42,False,Month-to-month,Fiber optic,False,Bank transfer (automatic),103.8000030517578,No,No
84,49,False,Two year,No,False,Bank transfer (automatic),20.149999618530277,No,No
85,9,False,Month-to-month,Fiber optic,False,Credit card (automatic),99.3000030517578,No,No
86,35,False,One year,DSL,False,Bank transfer (automatic),62.150001525878906,No,No
87,48,False,Two year,No,False,Bank transfer (automatic),20.649999618530277,No,No
88,46,False,Two year,No,False,Mailed check,19.950000762939453,No,No
89,29,False,Month-to-month,DSL,False,Mailed check,33.75,No,No
90,30,False,Month-to-month,Fiber optic,False,Bank transfer (automatic),82.05000305175781,No,No
91,1,False,Month-to-month,Fiber optic,True,Electronic check,74.69999694824219,No,Yes
92,66,False,Two year,DSL,False,Mailed check,84.0,No,No
93,65,False,Month-to-month,Fiber optic,False,Credit card (automatic),111.0500030517578,No,No
94,72,False,Two year,Fiber optic,False,Bank transfer (automatic),100.9000015258789,No,No
95,12,True,Month-to-month,Fiber optic,False,Electronic check,78.94999694824219,Yes,No
96,71,False,One year,DSL,False,Credit card (automatic),66.8499984741211,No,No
97,5,True,Month-to-month,No,False,Mailed check,21.049999237060547,Yes,No
98,52,False,Two year,No,False,Bank transfer (automatic),21.0,No,No
99,25,True,Month-to-month,Fiber optic,True,Electronic check,98.5,Yes,Yes
100,1,False,Month-to-month,No,False,Mailed check,20.200000762939453,No,No
101,1,False,Month-to-month,No,False,Electronic check,19.450000762939453,No,No
102,38,False,One year,Fiber optic,False,Bank transfer (automatic),95.0,No,No
103,66,False,One year,DSL,True,Bank transfer (automatic),45.54999923706055,No,Yes
104,68,True,Two year,Fiber optic,False,Bank transfer (automatic),110.0,Yes,No
105,5,False,Month-to-month,DSL,False,Mailed check,24.299999237060547,No,No
106,72,False,One year,Fiber optic,False,Electronic check,104.1500015258789,No,No
107,32,False,One year,DSL,False,Mailed check,30.149999618530277,No,No
108,43,False,One year,Fiber optic,False,Mailed check,94.3499984741211,No,No
109,72,False,Two year,No,False,Credit card (automatic),19.399999618530277,No,No
110,55,True,Month-to-month,Fiber optic,False,Electronic check,96.75,Yes,No
111,52,False,One year,DSL,False,Credit card (automatic),57.95000076293945,No,No
112,43,False,Month-to-month,Fiber optic,False,Electronic check,91.6500015258789,No,No
113,37,True,Month-to-month,Fiber optic,True,Electronic check,76.5,Yes,Yes
114,64,False,Two year,DSL,False,Electronic check,54.59999847412109,No,No
115,3,False,Month-to-month,Fiber optic,False,Electronic check,89.8499984741211,No,No
116,36,False,Two year,DSL,False,Bank transfer (automatic),31.049999237060547,No,No
117,10,True,Month-to-month,Fiber optic,False,Electronic check,100.25,Yes,No
118,41,False,Two year,No,False,Mailed check,20.649999618530277,No,No
119,27,False,Month-to-month,Fiber optic,False,Credit card (automatic),85.19999694824219,No,No
120,56,False,One year,Fiber optic,False,Credit card (automatic),99.8000030517578,No,No
121,6,False,Month-to-month,No,False,Mailed check,20.700000762939453,No,No
122,3,True,Month-to-month,Fiber optic,False,Electronic check,74.4000015258789,Yes,No
123,7,False,Month-to-month,DSL,False,Mailed check,50.70000076293945,No,No
124,4,False,Month-to-month,No,False,Mailed check,20.850000381469727,No,No
125,33,False,Two year,Fiber optic,False,Electronic check,88.94999694824219,No,No
126,27,True,Month-to-month,Fiber optic,True,Electronic check,78.05000305175781,Yes,Yes
127,72,False,Two year,No,False,Bank transfer (automatic),23.549999237060547,No,No
128,1,False,Month-to-month,No,False,Mailed check,19.75,No,No
129,71,False,One year,DSL,True,Electronic check,56.45000076293945,No,Yes
